dimension,group_value,window_count,detected_count,missed_count,recall,mean_human_probability
obstacle,no_obstacle,40,38,2,0.95,0.9590904334914692
obstacle,wall,172,148,24,0.8604651162790697,0.8440015239105231
orientation,facing_up,68,59,9,0.8676470588235294,0.8481585284028609
orientation,facing_down,48,43,5,0.8958333333333334,0.8811576863369891
orientation,facing_radar,44,37,7,0.8409090909090909,0.8283854124035557
orientation,not_facing_radar,52,47,5,0.9038461538461539,0.9060110082873513
subject_condition,Person 8,136,114,22,0.8382352941176471,0.8258401691717902
subject_condition,Person 9,76,72,4,0.9473684210526315,0.9370739005908585
target_distance_m,0.5,4,4,0,1.0,0.9999931374767009
target_distance_m,1.0,24,24,0,1.0,0.9752368183958816
target_distance_m,1.5,24,21,3,0.875,0.8766262616960434
target_distance_m,2.0,20,18,2,0.9,0.8540477417878591
target_distance_m,2.5,24,23,1,0.9583333333333334,0.9673510545361811
target_distance_m,3.0,24,21,3,0.875,0.8721076965290996
target_distance_m,3.5,24,22,2,0.9166666666666666,0.8762429532958813
target_distance_m,4.0,24,18,6,0.75,0.7608336593863182
target_distance_m,4.5,20,16,4,0.8,0.7946109303535688
target_distance_m,5.0,24,19,5,0.7916666666666666,0.7782154503078184
